epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1777.89,1.61629,1.97745,0.71741,0.47952,0.34777,0.33612,0.12554,2.02486,1.85187,0.97474,0.0700083,0.00333241,0.00333241
2,3558.91,1.74733,1.53376,0.75221,0.47559,0.29208,0.30363,0.11326,2.08871,1.84853,1.03855,0.0399423,0.00659975,0.00659975
3,5340.63,1.77907,1.57508,0.78064,0.35886,0.30569,0.27078,0.10169,2.23284,1.83389,1.11689,0.00981035,0.00980109,0.00980109
4,7123.99,1.84652,1.60931,0.80988,0.39325,0.28342,0.25617,0.10621,2.14991,1.85659,1.07012,0.009703,0.009703,0.009703
5,8905.69,1.77447,1.5185,0.79138,0.48667,0.3453,0.33072,0.13186,1.99557,1.67102,1.02611,0.009604,0.009604,0.009604
6,10687.3,1.72579,1.44092,0.76546,0.5237,0.37252,0.37473,0.14395,2.01574,1.59936,1.02807,0.009505,0.009505,0.009505
7,12469.2,1.69222,1.36041,0.75464,0.58509,0.35778,0.38278,0.15842,1.9838,1.54025,1.01782,0.009406,0.009406,0.009406
8,14250.5,1.71152,1.35573,0.75615,0.61063,0.4047,0.41139,0.15348,1.97014,1.53527,1.01154,0.009307,0.009307,0.009307
9,16030.9,1.67785,1.32325,0.74611,0.56835,0.39109,0.41565,0.17035,1.95617,1.52684,0.99994,0.009208,0.009208,0.009208
10,17812.4,1.65212,1.3313,0.73858,0.59567,0.41024,0.43566,0.18858,1.93424,1.43573,0.9834,0.009109,0.009109,0.009109
11,19594.7,1.64954,1.26049,0.7417,0.61699,0.40472,0.43904,0.18671,1.91604,1.37813,0.98579,0.00901,0.00901,0.00901
12,21377.6,1.6586,1.26944,0.74646,0.62202,0.43585,0.44623,0.18343,1.91498,1.44133,0.97534,0.008911,0.008911,0.008911
13,23160.3,1.61387,1.24693,0.72801,0.61861,0.41089,0.45013,0.20323,1.8534,1.39209,0.94927,0.008812,0.008812,0.008812
14,24943.3,1.63254,1.2342,0.73549,0.61416,0.47649,0.48641,0.20856,1.85723,1.3868,0.95126,0.008713,0.008713,0.008713
15,26727.1,1.66767,1.26415,0.74377,0.66282,0.42079,0.47783,0.20782,1.88985,1.34537,0.95391,0.008614,0.008614,0.008614
16,28509.8,1.63865,1.23071,0.73155,0.68563,0.46163,0.50215,0.21344,1.84581,1.29513,0.94728,0.008515,0.008515,0.008515
17,30293.8,1.63486,1.20522,0.73135,0.65523,0.46411,0.50065,0.21243,1.87696,1.29183,0.95496,0.008416,0.008416,0.008416
18,32078.1,1.61523,1.17977,0.72815,0.63893,0.47649,0.49978,0.21625,1.83774,1.26863,0.94469,0.008317,0.008317,0.008317
19,33861.6,1.61802,1.19536,0.7329,0.6996,0.46535,0.51006,0.22148,1.80888,1.28297,0.93313,0.008218,0.008218,0.008218
20,35644.3,1.58459,1.15555,0.7201,0.67164,0.48858,0.51714,0.22349,1.80466,1.24923,0.92513,0.008119,0.008119,0.008119
21,1776.92,1.56355,1.13988,0.70622,0.7041,0.48515,0.5275,0.22945,1.78747,1.2142,0.91748,0.00802,0.00802,0.00802
22,3557.86,1.56747,1.13589,0.70771,0.66189,0.50371,0.53437,0.23044,1.80777,1.23181,0.92016,0.007921,0.007921,0.007921
23,5341.48,1.55489,1.11666,0.70859,0.65501,0.48641,0.52771,0.23599,1.78297,1.20656,0.91339,0.007822,0.007822,0.007822
