epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2281.07,1.07872,0.66795,1.01367,0.79718,0.28584,0.32862,0.21781,0.86545,1.30903,0.62152,0.00333275,0.00333275,0.00333275
2,4559.69,1.1143,0.70895,1.0202,0.80658,0.27692,0.32002,0.21014,0.90548,1.25504,0.65226,0.00660009,0.00660009,0.00660009
3,6815.28,1.17118,0.77082,1.03954,0.85956,0.27563,0.32515,0.21855,0.91355,1.35411,0.65912,0.00980143,0.00980143,0.00980143
4,9076.94,1.22962,0.81638,1.06103,0.78751,0.27735,0.32369,0.21446,0.88698,1.15381,0.63738,0.009703,0.009703,0.009703
5,11341.8,1.2394,0.83187,1.06933,0.76267,0.27606,0.31739,0.2096,0.86872,1.2227,0.62766,0.009604,0.009604,0.009604
6,13606.7,1.24465,0.83582,1.06556,0.81248,0.2775,0.32171,0.21318,0.87054,1.4173,0.62719,0.009505,0.009505,0.009505
7,15868.1,1.23139,0.82274,1.06151,0.79379,0.28339,0.32466,0.21487,0.85741,1.14908,0.62355,0.009406,0.009406,0.009406
8,18134.1,1.22395,0.81659,1.05694,0.79575,0.27865,0.32277,0.21566,0.88184,1.26846,0.63025,0.009307,0.009307,0.009307
9,20400.8,1.21111,0.80408,1.05552,0.81033,0.28052,0.32507,0.2139,0.87597,1.22429,0.62972,0.009208,0.009208,0.009208
10,22672.2,1.22371,0.81091,1.05847,0.80627,0.27886,0.32198,0.21387,0.86368,1.35858,0.62526,0.009109,0.009109,0.009109
11,24951.6,1.20634,0.79804,1.05427,0.8051,0.28339,0.32748,0.21755,0.86971,1.25903,0.62563,0.00901,0.00901,0.00901
12,27279.1,1.1999,0.79189,1.04805,0.77728,0.28239,0.32668,0.21683,0.86598,1.14877,0.62172,0.008911,0.008911,0.008911
13,29558.5,1.20506,0.80505,1.0485,0.78068,0.28512,0.32863,0.21704,0.88274,1.11948,0.63214,0.008812,0.008812,0.008812
4,468.486,1.22803,0.82221,1.05992,0.75138,0.27984,0.31945,0.20678,0.88731,1.45592,0.63282,0.009703,0.009703,0.009703
5,882.301,1.22415,0.81906,1.0574,0.81145,0.26973,0.31518,0.20874,0.88495,1.15413,0.63283,0.009604,0.009604,0.009604
6,1295.47,1.21021,0.80675,1.053,0.78755,0.28035,0.32342,0.21495,0.89093,1.29906,0.63711,0.009505,0.009505,0.009505
7,1707.91,1.22571,0.8169,1.05817,0.79143,0.28206,0.3262,0.21631,0.87514,1.1583,0.63719,0.009406,0.009406,0.009406
8,2121.6,1.22602,0.81981,1.0644,0.76639,0.28396,0.3234,0.21295,0.86901,1.44266,0.6329,0.009307,0.009307,0.009307
9,2535.58,1.23451,0.82577,1.06195,0.79068,0.28133,0.32572,0.21437,0.86632,1.32878,0.63202,0.009208,0.009208,0.009208
10,2948.31,1.22459,0.81649,1.05922,0.7728,0.28354,0.32556,0.21663,0.87452,1.2937,0.63495,0.009109,0.009109,0.009109
11,3361.39,1.21342,0.80525,1.05168,0.7914,0.27951,0.32525,0.21734,0.86682,1.28306,0.62771,0.00901,0.00901,0.00901
12,3775.01,1.20378,0.78982,1.05297,0.77382,0.28598,0.32668,0.21814,0.87434,1.35552,0.62881,0.008911,0.008911,0.008911
13,4188.47,1.21197,0.79747,1.05046,0.80548,0.27924,0.32639,0.21662,0.86337,1.18386,0.6242,0.008812,0.008812,0.008812
14,4600.99,1.19537,0.79058,1.04786,0.80944,0.28282,0.32852,0.21821,0.86329,1.22382,0.62672,0.008713,0.008713,0.008713
15,5014.91,1.18894,0.78153,1.04152,0.79492,0.28312,0.32881,0.21844,0.8633,1.21469,0.6257,0.008614,0.008614,0.008614
16,5427.07,1.19761,0.79227,1.04407,0.77563,0.28426,0.32818,0.21861,0.86484,1.23672,0.62627,0.008515,0.008515,0.008515
17,5840.46,1.2,0.78187,1.0506,0.77368,0.28497,0.32859,0.21805,0.86621,1.2316,0.62709,0.008416,0.008416,0.008416
18,6254.15,1.18691,0.77528,1.0428,0.76695,0.28296,0.32739,0.21804,0.86925,1.23222,0.62806,0.008317,0.008317,0.008317
19,6666.41,1.19194,0.77729,1.04544,0.75048,0.28758,0.32875,0.2184,0.86967,1.24567,0.62869,0.008218,0.008218,0.008218
20,7077.79,1.18554,0.77404,1.04361,0.74452,0.28871,0.32887,0.2184,0.87124,1.2369,0.62944,0.008119,0.008119,0.008119
21,7490.39,1.18355,0.77747,1.04211,0.747,0.28699,0.32934,0.21866,0.8695,1.23168,0.62871,0.00802,0.00802,0.00802
22,7903.81,1.17485,0.77359,1.03776,0.74549,0.28814,0.32952,0.21915,0.86899,1.23141,0.6286,0.007921,0.007921,0.007921
23,8317.8,1.17288,0.76436,1.03717,0.75663,0.28785,0.33014,0.21928,0.86899,1.23241,0.62838,0.007822,0.007822,0.007822
