epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,380.023,1.52091,1.88463,1.21803,0.74314,0.23997,0.26514,0.15949,1.03375,2.77215,0.6708,0.00333275,0.00333275,0.00333275
2,739.892,1.50163,1.19909,1.16178,0.75221,0.25737,0.28553,0.18627,0.92291,2.18489,0.64226,0.00660009,0.00660009,0.00660009
3,1055.07,1.54675,1.16545,1.19539,0.76964,0.2578,0.29014,0.18074,0.97049,1.69337,0.69842,0.00980143,0.00980143,0.00980143
4,1368.42,1.50191,1.11802,1.19858,0.77082,0.26643,0.3016,0.19446,0.8906,1.59284,0.65658,0.009703,0.009703,0.009703
5,1681.89,1.44569,1.04755,1.17422,0.80778,0.26211,0.29669,0.1936,0.9077,2.22151,0.65545,0.009604,0.009604,0.009604
6,1994.38,1.39992,1.00105,1.14888,0.77346,0.26916,0.30637,0.19986,0.9069,1.47555,0.65117,0.009505,0.009505,0.009505
7,2307.99,1.37187,0.9593,1.13497,0.79253,0.2693,0.30804,0.20276,0.89457,1.58964,0.64273,0.009406,0.009406,0.009406
8,2620.88,1.341,0.94042,1.12555,0.83057,0.26844,0.31365,0.2112,0.86804,1.4297,0.63541,0.009307,0.009307,0.009307
9,2934.55,1.32411,0.91753,1.11468,0.76691,0.2762,0.31763,0.21034,0.87939,1.41729,0.63808,0.009208,0.009208,0.009208
10,3247.35,1.29492,0.89868,1.10622,0.80265,0.27649,0.31734,0.21359,0.87525,1.69399,0.63637,0.009109,0.009109,0.009109
11,3560.12,1.2919,0.89237,1.10466,0.76555,0.28095,0.32182,0.21814,0.85948,1.37842,0.62771,0.00901,0.00901,0.00901
12,3873.3,1.28081,0.86969,1.09901,0.79114,0.28009,0.32309,0.21798,0.85338,1.30378,0.6284,0.008911,0.008911,0.008911
13,4185.93,1.27883,0.87321,1.08877,0.79376,0.28037,0.32281,0.21746,0.85091,1.36186,0.62652,0.008812,0.008812,0.008812
14,4498.75,1.26717,0.8621,1.09078,0.81452,0.27692,0.32404,0.21759,0.84182,1.26776,0.62442,0.008713,0.008713,0.008713
15,4811.24,1.25925,0.85338,1.08342,0.81596,0.27794,0.32487,0.21841,0.84671,1.38389,0.6267,0.008614,0.008614,0.008614
16,5124.75,1.24602,0.84533,1.07358,0.82595,0.27764,0.3259,0.21911,0.85177,1.39094,0.62591,0.008515,0.008515,0.008515
17,5437.54,1.23689,0.82654,1.07144,0.77899,0.28228,0.32583,0.21911,0.85124,1.42984,0.62592,0.008416,0.008416,0.008416
18,5749.74,1.23539,0.83216,1.06937,0.78927,0.28397,0.32652,0.21906,0.85121,1.43601,0.62536,0.008317,0.008317,0.008317
19,6062.79,1.23302,0.82289,1.0718,0.80339,0.28325,0.32723,0.22007,0.85228,1.42358,0.62597,0.008218,0.008218,0.008218
20,6375.72,1.22584,0.81433,1.07107,0.79955,0.28469,0.3276,0.22084,0.85293,1.40862,0.62599,0.008119,0.008119,0.008119
21,6688.18,1.21633,0.81791,1.06014,0.80006,0.28325,0.32754,0.22185,0.85438,1.38676,0.62585,0.00802,0.00802,0.00802
22,7000.76,1.21976,0.81917,1.06205,0.80477,0.28331,0.32835,0.2229,0.85348,1.36726,0.62423,0.007921,0.007921,0.007921
23,7314,1.21961,0.81203,1.05784,0.80839,0.28339,0.32817,0.2231,0.85301,1.37207,0.62351,0.007822,0.007822,0.007822
24,7626.88,1.21704,0.80627,1.06304,0.8099,0.28339,0.32865,0.22336,0.85261,1.3681,0.62313,0.007723,0.007723,0.007723
25,7938.8,1.21177,0.79526,1.05756,0.80924,0.28325,0.32892,0.22355,0.85241,1.36447,0.62318,0.007624,0.007624,0.007624
26,8251.66,1.19917,0.79719,1.05385,0.80764,0.28311,0.32861,0.22334,0.85278,1.35145,0.62294,0.007525,0.007525,0.007525
27,8564.18,1.20597,0.79479,1.05265,0.80075,0.28397,0.32883,0.22359,0.85316,1.33569,0.62266,0.007426,0.007426,0.007426
28,8876.46,1.18487,0.78331,1.04423,0.80245,0.28368,0.32919,0.22371,0.85243,1.33256,0.62199,0.007327,0.007327,0.007327
29,9189.93,1.17419,0.78031,1.04371,0.79987,0.28382,0.32937,0.22385,0.85235,1.32193,0.622,0.007228,0.007228,0.007228
30,9502.71,1.1876,0.77865,1.04582,0.79735,0.28426,0.32955,0.2238,0.85202,1.30301,0.62185,0.007129,0.007129,0.007129
31,9815.72,1.18338,0.77178,1.04295,0.79711,0.28469,0.32977,0.2238,0.85115,1.29073,0.62127,0.00703,0.00703,0.00703
32,10128.7,1.18164,0.76945,1.04498,0.79703,0.28469,0.32984,0.22404,0.84992,1.27654,0.62072,0.006931,0.006931,0.006931
33,10441.9,1.18366,0.77349,1.04408,0.79852,0.28454,0.3301,0.22408,0.85004,1.26244,0.62055,0.006832,0.006832,0.006832
34,10754.2,1.17221,0.76556,1.043,0.80048,0.28439,0.33031,0.22404,0.84899,1.25016,0.62026,0.006733,0.006733,0.006733
35,11067,1.16622,0.76461,1.0358,0.80108,0.28512,0.33118,0.22394,0.84804,1.22431,0.61995,0.006634,0.006634,0.006634
36,11379.9,1.16809,0.76646,1.03818,0.80428,0.28419,0.33104,0.22403,0.84722,1.20785,0.61971,0.006535,0.006535,0.006535
37,11693.2,1.16369,0.76102,1.03659,0.80696,0.28309,0.33119,0.22391,0.84824,1.1963,0.61994,0.006436,0.006436,0.006436
38,12006.1,1.16915,0.7583,1.03907,0.80614,0.28311,0.33101,0.22357,0.84939,1.18158,0.62016,0.006337,0.006337,0.006337
39,12320.2,1.16075,0.75592,1.03321,0.8049,0.28325,0.33118,0.22347,0.85032,1.16891,0.62018,0.006238,0.006238,0.006238
40,12633.1,1.1645,0.75823,1.03255,0.80279,0.28296,0.33116,0.22322,0.85157,1.16783,0.62064,0.006139,0.006139,0.006139
41,12946.4,1.14875,0.74657,1.02748,0.80985,0.28152,0.33094,0.22267,0.85297,1.1693,0.62102,0.00604,0.00604,0.00604
42,13259.8,1.14419,0.73589,1.03185,0.80679,0.28239,0.33067,0.22232,0.85393,1.17321,0.62135,0.005941,0.005941,0.005941
43,13572.5,1.13922,0.73678,1.02743,0.81333,0.28152,0.3308,0.22234,0.85447,1.16414,0.62173,0.005842,0.005842,0.005842
44,13885.1,1.14867,0.7354,1.02957,0.8046,0.28296,0.33109,0.22219,0.85545,1.16152,0.62215,0.005743,0.005743,0.005743
45,14198.9,1.14542,0.73195,1.02579,0.80825,0.28239,0.33086,0.22209,0.85708,1.16065,0.62276,0.005644,0.005644,0.005644
46,14511,1.13485,0.72894,1.02506,0.80174,0.28224,0.33054,0.22185,0.8585,1.14819,0.62353,0.005545,0.005545,0.005545
47,14824.4,1.12574,0.72483,1.02008,0.79799,0.28228,0.33077,0.2215,0.85965,1.14861,0.62385,0.005446,0.005446,0.005446
48,15137.7,1.12448,0.71971,1.01899,0.78785,0.28325,0.3308,0.2208,0.86074,1.14853,0.62433,0.005347,0.005347,0.005347
49,15450.6,1.11997,0.71436,1.01728,0.7935,0.2821,0.33043,0.22063,0.86163,1.14473,0.62438,0.005248,0.005248,0.005248
50,15762.6,1.11847,0.7133,1.01812,0.79585,0.28109,0.33012,0.22041,0.86268,1.13917,0.62485,0.005149,0.005149,0.005149
51,16075.4,1.11066,0.71291,1.01412,0.80185,0.28066,0.33025,0.2205,0.86326,1.13609,0.62482,0.00505,0.00505,0.00505
52,16388.1,1.11504,0.70652,1.01669,0.80501,0.28023,0.33033,0.22019,0.86435,1.13399,0.62523,0.004951,0.004951,0.004951
53,16700.8,1.1159,0.71085,1.01351,0.80733,0.27994,0.33023,0.22034,0.86386,1.12735,0.62479,0.004852,0.004852,0.004852
54,17013.9,1.10737,0.70314,1.01096,0.80764,0.27994,0.33068,0.22049,0.86318,1.11977,0.62413,0.004753,0.004753,0.004753
55,17326.6,1.1076,0.70129,1.01506,0.80653,0.28066,0.33128,0.22043,0.86355,1.12223,0.62415,0.004654,0.004654,0.004654
56,17639.4,1.10843,0.69486,1.01326,0.80568,0.28167,0.33193,0.22028,0.86483,1.1153,0.62438,0.004555,0.004555,0.004555
57,17953,1.10322,0.69157,1.01272,0.80194,0.28138,0.33179,0.22009,0.86612,1.11046,0.62464,0.004456,0.004456,0.004456
58,18265.7,1.09671,0.69076,1.0079,0.80256,0.28138,0.33196,0.22029,0.86654,1.10718,0.62458,0.004357,0.004357,0.004357
59,18579.8,1.09806,0.69791,1.00646,0.8018,0.28124,0.33229,0.22053,0.86827,1.10668,0.62522,0.004258,0.004258,0.004258
60,18893.1,1.09826,0.69236,1.00963,0.80277,0.28181,0.33252,0.22046,0.86858,1.10283,0.62546,0.004159,0.004159,0.004159
61,19206.1,1.08644,0.67606,1.00625,0.79912,0.28224,0.33278,0.22054,0.86997,1.09661,0.62608,0.00406,0.00406,0.00406
62,19519.6,1.08159,0.68153,1.00269,0.79328,0.28296,0.333,0.22047,0.87083,1.09245,0.62657,0.003961,0.003961,0.003961
63,19833.3,1.07465,0.67036,0.99733,0.79967,0.28238,0.33277,0.22022,0.8723,1.08628,0.62694,0.003862,0.003862,0.003862
64,20145.8,1.08197,0.67782,1.00363,0.7938,0.28267,0.33232,0.22016,0.87307,1.07999,0.6269,0.003763,0.003763,0.003763
65,20459.4,1.06512,0.66705,0.99821,0.79182,0.28368,0.33259,0.2197,0.87418,1.07317,0.62715,0.003664,0.003664,0.003664
66,20772.2,1.06716,0.66173,0.99744,0.79107,0.28411,0.33311,0.21944,0.87553,1.06869,0.62763,0.003565,0.003565,0.003565
