epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2959,1.69967,1.55096,0.74858,0.47617,0.20038,0.21296,0.10109,1.49843,1.23561,0.59978,0.00333121,0.00333121,0.00333121
2,191.868,1.66865,1.23587,0.72533,0.46651,0.23229,0.22016,0.09682,1.49284,1.23669,0.61766,0.00659856,0.00659856,0.00659856
3,286.579,1.7034,1.18512,0.73014,0.47389,0.18379,0.18825,0.08714,1.56215,1.56091,0.61914,0.00979992,0.00979992,0.00979992
4,374.682,1.83571,1.27929,0.76827,0.52014,0.20804,0.2009,0.08341,1.62307,1.27759,0.64072,0.009703,0.009703,0.009703
5,456.884,1.81506,1.27094,0.77058,0.48106,0.21001,0.21104,0.08914,1.59688,1.19893,0.62898,0.009604,0.009604,0.009604
6,539.511,1.76184,1.20733,0.73994,0.49661,0.21153,0.21065,0.09736,1.64768,1.27265,0.62667,0.009505,0.009505,0.009505
7,622.78,1.73834,1.19274,0.74486,0.52364,0.22658,0.2162,0.09365,1.53258,1.26142,0.61986,0.009406,0.009406,0.009406
8,705.778,1.78443,1.21528,0.75683,0.50522,0.22286,0.22029,0.09338,1.63158,1.34996,0.64621,0.009307,0.009307,0.009307
9,788.99,1.78023,1.21907,0.76832,0.50838,0.22272,0.22066,0.08903,1.68852,1.26062,0.63756,0.009208,0.009208,0.009208
10,872.623,1.767,1.16383,0.75015,0.53044,0.20868,0.20958,0.09601,1.57316,1.37274,0.63032,0.009109,0.009109,0.009109
11,956.456,1.76772,1.1716,0.76676,0.49097,0.22272,0.21663,0.08878,1.64842,1.26672,0.63748,0.00901,0.00901,0.00901
12,1040.01,1.75457,1.17328,0.75579,0.46886,0.23038,0.22493,0.09556,1.64756,1.26365,0.64083,0.008911,0.008911,0.008911
13,1123.78,1.77814,1.17639,0.75546,0.5252,0.23357,0.23676,0.10473,1.53053,1.20739,0.62719,0.008812,0.008812,0.008812
14,1207.66,1.74986,1.15083,0.73817,0.51379,0.22399,0.22618,0.09334,1.61757,1.36565,0.63069,0.008713,0.008713,0.008713
15,1290.83,1.7302,1.12448,0.74998,0.47323,0.22782,0.23081,0.10175,1.55953,1.17909,0.62884,0.008614,0.008614,0.008614
16,1374.68,1.77754,1.16258,0.77094,0.491,0.23165,0.22902,0.09774,1.50544,1.22815,0.61276,0.008515,0.008515,0.008515
17,1458.71,1.6976,1.1171,0.74599,0.47923,0.21953,0.21502,0.09393,1.58179,1.26649,0.62937,0.008416,0.008416,0.008416
18,1542.7,1.75417,1.13195,0.76233,0.53605,0.22017,0.23481,0.1034,1.56036,1.14211,0.62795,0.008317,0.008317,0.008317
19,1626.37,1.7428,1.15858,0.75664,0.54485,0.24598,0.24657,0.10751,1.56723,1.14063,0.63014,0.008218,0.008218,0.008218
20,1710.28,1.71212,1.10161,0.7443,0.50772,0.24505,0.24389,0.10438,1.54334,1.29718,0.63291,0.008119,0.008119,0.008119
21,1793.61,1.71077,1.1069,0.74482,0.51134,0.23038,0.22795,0.09597,1.60562,1.21567,0.64122,0.00802,0.00802,0.00802
22,1877.09,1.70361,1.11557,0.74757,0.5274,0.23548,0.24119,0.10946,1.54567,1.13726,0.62987,0.007921,0.007921,0.007921
23,1960.97,1.67677,1.10633,0.74034,0.46882,0.2422,0.23501,0.10397,1.53078,1.25119,0.62791,0.007822,0.007822,0.007822
