epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1380.07,1.52661,2.92202,1.31084,0.74256,0.25679,0.29296,0.1866,1.03769,3.85762,0.79,0.00333275,0.00333275,0.00333275
2,2750.85,1.46902,1.40554,1.27881,0.72547,0.24975,0.28274,0.1784,1.07528,2.22948,0.81298,0.00661109,0.00661109,0.00661109
3,4123.82,1.53197,1.38339,1.33879,0.76344,0.24917,0.28306,0.18085,1.10095,2.17824,0.80989,0.00983443,0.00983443,0.00983443
4,5493.22,1.50218,1.33192,1.32907,0.75037,0.25881,0.29659,0.1904,1.04258,1.87122,0.80008,0.0097525,0.0097525,0.0097525
5,6862.11,1.44858,1.25729,1.302,0.79692,0.27252,0.32089,0.21538,0.95207,1.56631,0.76065,0.00967,0.00967,0.00967
6,8230.88,1.40621,1.20327,1.28103,0.77488,0.28259,0.32946,0.21782,0.93046,1.80643,0.75122,0.0095875,0.0095875,0.0095875
7,9597.69,1.36805,1.14538,1.26239,0.77218,0.28512,0.3341,0.22379,0.91696,1.64891,0.74998,0.009505,0.009505,0.009505
8,10963.2,1.3513,1.13177,1.25517,0.77357,0.29044,0.33573,0.22652,0.90739,1.77609,0.74879,0.0094225,0.0094225,0.0094225
9,12330.8,1.33545,1.11419,1.24142,0.73912,0.29432,0.339,0.22715,0.9066,1.69421,0.74323,0.00934,0.00934,0.00934
10,13697.2,1.31178,1.09075,1.2356,0.76625,0.28799,0.33909,0.22934,0.90822,1.62468,0.74383,0.0092575,0.0092575,0.0092575
11,15064.9,1.3047,1.08689,1.22909,0.77411,0.29245,0.34366,0.23178,0.9022,1.67846,0.74254,0.009175,0.009175,0.009175
12,16436.5,1.29636,1.04961,1.22326,0.78384,0.28483,0.33474,0.22276,0.92429,1.7085,0.7535,0.0090925,0.0090925,0.0090925
13,17806.9,1.2929,1.05386,1.21907,0.78068,0.29231,0.34126,0.2283,0.91447,1.63923,0.75004,0.00901,0.00901,0.00901
14,19174.3,1.28292,1.04489,1.21613,0.77417,0.29328,0.34276,0.22921,0.90462,1.67191,0.74753,0.0089275,0.0089275,0.0089275
15,20545.8,1.27641,1.02484,1.21052,0.79697,0.28929,0.34188,0.22588,0.91345,1.71234,0.75253,0.008845,0.008845,0.008845
16,21915,1.25975,1.01752,1.20197,0.79239,0.28857,0.3415,0.2251,0.91394,1.68229,0.7544,0.0087625,0.0087625,0.0087625
17,23282,1.25327,1.00461,1.1947,0.80454,0.28253,0.33636,0.22169,0.92742,1.57249,0.75882,0.00868,0.00868,0.00868
18,24650.5,1.25343,1.00152,1.1953,0.81157,0.28526,0.34213,0.22568,0.92131,1.55518,0.75392,0.0085975,0.0085975,0.0085975
19,26021.7,1.24592,0.98865,1.19549,0.79776,0.28799,0.34304,0.2259,0.92441,1.55164,0.75575,0.008515,0.008515,0.008515
20,27391.5,1.2406,0.98098,1.18919,0.79766,0.29015,0.34479,0.22827,0.91593,1.56441,0.75147,0.0084325,0.0084325,0.0084325
21,28758.4,1.23451,0.98218,1.18057,0.81308,0.28771,0.34562,0.22925,0.91212,1.54799,0.7496,0.00835,0.00835,0.00835
22,30125.7,1.23152,0.97706,1.18132,0.81153,0.28788,0.34549,0.2288,0.912,1.51021,0.74792,0.0082675,0.0082675,0.0082675
23,31491.7,1.23407,0.97897,1.17866,0.80585,0.29003,0.34633,0.22891,0.91079,1.51051,0.74737,0.008185,0.008185,0.008185
24,32858,1.23094,0.96863,1.17948,0.79886,0.29044,0.34641,0.22897,0.91122,1.51229,0.74738,0.0081025,0.0081025,0.0081025
25,34242.1,1.22376,0.95751,1.18086,0.80406,0.28958,0.34511,0.22787,0.9141,1.48745,0.74873,0.00802,0.00802,0.00802
26,35615.5,1.21762,0.94931,1.17502,0.803,0.286,0.34202,0.22597,0.91934,1.4623,0.75049,0.0079375,0.0079375,0.0079375
27,36992.4,1.22143,0.95689,1.17733,0.80181,0.28503,0.34098,0.22451,0.92252,1.44936,0.75231,0.007855,0.007855,0.007855
28,1373.09,1.21503,0.95553,1.17237,0.8041,0.28699,0.34247,0.22566,0.91957,1.45575,0.75125,0.0077725,0.0077725,0.0077725
29,3304.17,1.21727,0.95459,1.16956,0.80294,0.28766,0.34325,0.22634,0.91817,1.44961,0.75032,0.00769,0.00769,0.00769
30,4966.86,1.22534,0.95857,1.17469,0.8012,0.28929,0.34451,0.22712,0.91567,1.44988,0.74922,0.0076075,0.0076075,0.0076075
31,6364.92,1.21082,0.95043,1.16442,0.80227,0.29029,0.34562,0.2278,0.91293,1.43512,0.74764,0.007525,0.007525,0.007525
