epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,428.218,2.17731,2.31304,1.02936,0.61865,0.40223,0.44383,0.19127,2.0638,1.63616,1.09524,0.00333148,0.00333148,0.00333148
2,865.729,2.15094,1.79798,1.01506,0.56687,0.40099,0.44153,0.1911,2.07484,1.53679,1.10221,0.00658234,0.00658234,0.00658234
3,1303.33,2.13933,1.7224,1.02177,0.56436,0.41366,0.42313,0.17685,2.14306,1.68829,1.1374,0.00975069,0.00975069,0.00975069
4,1740.64,2.21783,1.8153,1.04481,0.59787,0.38985,0.43403,0.18405,2.15639,1.58587,1.14951,0.00962875,0.00962875,0.00962875
5,2177.3,2.17367,1.75845,1.02366,0.62236,0.4047,0.45201,0.1894,2.12447,1.60413,1.12753,0.009505,0.009505,0.009505
6,2614.08,2.21295,1.75743,1.03623,0.62592,0.41213,0.44896,0.19444,2.10488,1.55374,1.14412,0.00938125,0.00938125,0.00938125
7,3050.93,2.16272,1.70531,1.0077,0.6335,0.41716,0.4603,0.19659,2.1614,1.56856,1.13227,0.0092575,0.0092575,0.0092575
8,3488.43,2.19533,1.72409,1.03672,0.56914,0.36015,0.38531,0.16863,2.13062,1.82437,1.1406,0.00913375,0.00913375,0.00913375
9,3925.46,2.13457,1.6984,1.00865,0.60028,0.40347,0.45371,0.20395,2.07855,1.62939,1.09679,0.00901,0.00901,0.00901
10,4361.99,2.14783,1.67275,1.01557,0.61295,0.44307,0.48339,0.21625,2.04594,1.48192,1.11591,0.00888625,0.00888625,0.00888625
11,4799.63,2.1262,1.63912,1.01221,0.68674,0.45421,0.49682,0.21051,2.06882,1.45808,1.11836,0.0087625,0.0087625,0.0087625
12,5236.69,2.11977,1.64629,0.99853,0.69425,0.46368,0.5004,0.22036,2.0243,1.46416,1.10378,0.00863875,0.00863875,0.00863875
13,5673.68,2.09512,1.58388,0.99793,0.66933,0.46535,0.50033,0.22812,2.00398,1.42747,1.09669,0.008515,0.008515,0.008515
14,6110.71,2.09803,1.61376,1.01121,0.63855,0.48515,0.51205,0.22225,1.99863,1.37028,1.09864,0.00839125,0.00839125,0.00839125
15,6547.87,2.10983,1.5965,0.99921,0.71511,0.50495,0.542,0.23512,2.0462,1.37018,1.10358,0.0082675,0.0082675,0.0082675
16,6984.96,2.06179,1.5425,0.99515,0.68506,0.48762,0.53367,0.23722,2.03879,1.33453,1.08831,0.00814375,0.00814375,0.00814375
17,7422.3,2.11439,1.59294,1.00663,0.65835,0.50248,0.54379,0.24329,1.98066,1.31424,1.08778,0.00802,0.00802,0.00802
18,7859.78,2.08111,1.52593,0.99373,0.65354,0.49492,0.5327,0.23589,2.01631,1.36676,1.09028,0.00789625,0.00789625,0.00789625
19,8297.03,2.0424,1.5202,0.98788,0.67372,0.51238,0.54129,0.24146,2.00278,1.30635,1.0852,0.0077725,0.0077725,0.0077725
20,8734.16,2.04537,1.52903,0.98583,0.68598,0.48144,0.53328,0.24428,1.99419,1.29774,1.07952,0.00764875,0.00764875,0.00764875
21,9171.48,2.05328,1.54489,0.97662,0.68811,0.49381,0.54757,0.24894,1.98696,1.28216,1.07732,0.007525,0.007525,0.007525
22,9608.81,2.07219,1.51605,0.98383,0.65495,0.5099,0.54212,0.24325,1.98371,1.27649,1.08347,0.00740125,0.00740125,0.00740125
23,10046.3,2.04792,1.50818,0.9848,0.67436,0.48886,0.54066,0.24729,1.95979,1.28456,1.0732,0.0072775,0.0072775,0.0072775
24,10483.3,2.02916,1.50312,0.9698,0.70862,0.51361,0.56625,0.25925,1.94692,1.25081,1.06747,0.00715375,0.00715375,0.00715375
25,10920.5,2.03284,1.47642,0.96946,0.70461,0.50619,0.55478,0.25198,1.9285,1.23523,1.06605,0.00703,0.00703,0.00703
26,11357.1,2.02672,1.47167,0.98797,0.6993,0.51856,0.56302,0.25638,1.93755,1.22607,1.06375,0.00690625,0.00690625,0.00690625
27,11793.9,2.01635,1.46796,0.97329,0.70783,0.5217,0.56586,0.26302,1.95146,1.20335,1.06939,0.0067825,0.0067825,0.0067825
28,12231.2,2.02635,1.47057,0.97507,0.69539,0.49752,0.5514,0.26117,1.91145,1.20666,1.06139,0.00665875,0.00665875,0.00665875
29,12668.6,2.00369,1.43851,0.96363,0.69303,0.52228,0.57735,0.26364,1.91932,1.18298,1.0496,0.006535,0.006535,0.006535
30,13105.3,1.98357,1.40842,0.96013,0.69928,0.52089,0.56384,0.26252,1.93388,1.19176,1.06051,0.00641125,0.00641125,0.00641125
31,13542,2.00764,1.43987,0.97552,0.70581,0.52259,0.57707,0.26479,1.91144,1.20186,1.05274,0.0062875,0.0062875,0.0062875
32,13978.7,2.0126,1.44861,0.96304,0.69538,0.52228,0.57736,0.26578,1.91699,1.18327,1.04806,0.00616375,0.00616375,0.00616375
33,14415.6,1.99648,1.42026,0.9598,0.70939,0.52264,0.58096,0.27198,1.90541,1.18693,1.05075,0.00604,0.00604,0.00604
34,14852.4,1.98609,1.38985,0.96342,0.69236,0.51733,0.58518,0.2712,1.9104,1.16408,1.05127,0.00591625,0.00591625,0.00591625
35,15289.9,2.0226,1.45046,0.97747,0.71501,0.54338,0.59738,0.27806,1.88342,1.12471,1.04586,0.0057925,0.0057925,0.0057925
36,15726.7,1.96489,1.41744,0.9454,0.70324,0.53589,0.59718,0.27469,1.90245,1.13368,1.0465,0.00566875,0.00566875,0.00566875
37,16163.6,1.96053,1.38675,0.95155,0.71356,0.53028,0.59101,0.27882,1.88048,1.13511,1.03945,0.005545,0.005545,0.005545
