epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.764,2.03539,1.86286,1.0316,0.47442,0.31908,0.27569,0.12514,1.62436,3.11855,0.83052,0.00333121,0.00333121,0.00333121
2,740.906,1.83556,1.58802,0.98617,0.57633,0.32036,0.32545,0.14299,1.62084,1.45411,0.82312,0.00659856,0.00659856,0.00659856
3,1117.84,1.81873,1.55754,0.98038,0.53915,0.32036,0.30919,0.13981,1.6279,1.72344,0.84301,0.00979992,0.00979992,0.00979992
4,1498.06,1.8767,1.59859,1.01301,0.44074,0.29219,0.23744,0.10443,1.68421,2.06287,0.84356,0.009703,0.009703,0.009703
5,1878.66,1.87367,1.56587,1.02702,0.56715,0.32419,0.34346,0.15931,1.65115,1.38722,0.84719,0.009604,0.009604,0.009604
6,2259.22,1.84225,1.50659,0.99575,0.58014,0.35227,0.35161,0.15509,1.57291,1.45903,0.82148,0.009505,0.009505,0.009505
7,2639.59,1.85227,1.49843,1.00273,0.60042,0.31525,0.33437,0.14139,1.61684,1.43366,0.85917,0.009406,0.009406,0.009406
8,3019.41,1.83551,1.48292,1.0002,0.52918,0.33504,0.32954,0.14931,1.58993,1.46706,0.82713,0.009307,0.009307,0.009307
9,3398.7,1.82312,1.45859,1.00921,0.61009,0.34078,0.36734,0.16274,1.61188,1.33509,0.84411,0.009208,0.009208,0.009208
10,3778.82,1.83383,1.46527,1.00263,0.60853,0.33504,0.36629,0.16055,1.58961,1.45242,0.82664,0.009109,0.009109,0.009109
11,4158.2,1.78867,1.4254,0.98746,0.57139,0.35418,0.3563,0.15949,1.52733,1.43167,0.82602,0.00901,0.00901,0.00901
12,4537.68,1.76575,1.38257,0.99098,0.57737,0.36631,0.37756,0.18078,1.55059,1.44969,0.82231,0.008911,0.008911,0.008911
13,4918.02,1.77611,1.39323,0.98568,0.58312,0.33312,0.34469,0.15004,1.57314,1.32805,0.83975,0.008812,0.008812,0.008812
14,5297.69,1.79093,1.36519,0.97764,0.58202,0.37077,0.38368,0.17721,1.51878,1.37173,0.82125,0.008713,0.008713,0.008713
15,5676.54,1.7606,1.34986,0.96645,0.66135,0.35929,0.39715,0.17876,1.55888,1.36211,0.81973,0.008614,0.008614,0.008614
16,6054.98,1.7669,1.35773,0.98595,0.63133,0.3695,0.39881,0.18739,1.50323,1.23659,0.81938,0.008515,0.008515,0.008515
17,6434.12,1.73009,1.3382,0.97232,0.61673,0.37141,0.3997,0.18265,1.529,1.20275,0.82987,0.008416,0.008416,0.008416
18,6814.27,1.75475,1.30864,0.98896,0.64346,0.37588,0.40509,0.19422,1.47709,1.22658,0.80245,0.008317,0.008317,0.008317
19,7193.91,1.74544,1.35111,0.96982,0.62766,0.37141,0.40641,0.19189,1.49685,1.25224,0.8029,0.008218,0.008218,0.008218
20,7571.98,1.73017,1.30859,0.96867,0.59042,0.38928,0.40304,0.18662,1.49811,1.32814,0.80652,0.008119,0.008119,0.008119
21,7950.77,1.74191,1.29561,0.9719,0.59142,0.3963,0.41014,0.18401,1.49494,1.16184,0.81142,0.00802,0.00802,0.00802
22,8329.77,1.70824,1.29128,0.96238,0.63814,0.37524,0.4121,0.18898,1.50192,1.2101,0.80693,0.007921,0.007921,0.007921
23,8709.2,1.74707,1.32527,0.97611,0.64581,0.37843,0.41521,0.19238,1.50333,1.24622,0.80486,0.007822,0.007822,0.007822
24,9089.08,1.71827,1.3015,0.95402,0.62028,0.38034,0.39543,0.18779,1.48298,1.23557,0.803,0.007723,0.007723,0.007723
25,9467.93,1.70541,1.27754,0.95474,0.63558,0.38481,0.42065,0.19894,1.47796,1.14616,0.80403,0.007624,0.007624,0.007624
26,9846.17,1.75106,1.27779,0.96703,0.63421,0.39757,0.43076,0.20321,1.48284,1.19437,0.79907,0.007525,0.007525,0.007525
27,10225,1.69546,1.29427,0.95997,0.62154,0.39826,0.4255,0.20618,1.44115,1.16613,0.7973,0.007426,0.007426,0.007426
28,10602.6,1.69445,1.25482,0.96141,0.63652,0.39119,0.41961,0.19995,1.46974,1.18649,0.80114,0.007327,0.007327,0.007327
29,10981.8,1.62527,1.21207,0.93924,0.61692,0.40013,0.42955,0.19993,1.45705,1.1486,0.80155,0.007228,0.007228,0.007228
30,11360.3,1.6606,1.20857,0.93334,0.66274,0.39753,0.43622,0.21546,1.4008,1.11747,0.77926,0.007129,0.007129,0.007129
31,11739.5,1.66792,1.22478,0.93309,0.69459,0.36822,0.42231,0.20351,1.43607,1.18789,0.7939,0.00703,0.00703,0.00703
32,12116.1,1.65885,1.21154,0.9383,0.66106,0.3963,0.43593,0.20903,1.45789,1.11234,0.79414,0.006931,0.006931,0.006931
33,12492.3,1.68213,1.21884,0.94845,0.67651,0.38168,0.43287,0.20841,1.47995,1.14519,0.80064,0.006832,0.006832,0.006832
34,12872.2,1.66277,1.20102,0.94286,0.62526,0.40396,0.43022,0.21104,1.45499,1.10066,0.79112,0.006733,0.006733,0.006733
35,13251.3,1.67586,1.21743,0.93408,0.66393,0.40268,0.44183,0.20819,1.46916,1.11833,0.79783,0.006634,0.006634,0.006634
36,13630.5,1.64574,1.19916,0.93282,0.65339,0.40013,0.43663,0.20766,1.46178,1.14832,0.79473,0.006535,0.006535,0.006535
37,14006,1.66695,1.19913,0.93597,0.65081,0.40795,0.44363,0.21308,1.46026,1.10331,0.79197,0.006436,0.006436,0.006436
38,14382.1,1.66685,1.17906,0.94559,0.6499,0.41353,0.44429,0.21432,1.451,1.10167,0.78949,0.006337,0.006337,0.006337
39,14758.4,1.65618,1.15641,0.9306,0.65246,0.41034,0.44049,0.21214,1.44129,1.12012,0.78547,0.006238,0.006238,0.006238
40,15137.9,1.61838,1.14363,0.93447,0.67852,0.39869,0.44452,0.21605,1.44807,1.06415,0.78679,0.006139,0.006139,0.006139
41,15514.6,1.65852,1.17506,0.93997,0.63916,0.40204,0.44068,0.2109,1.44097,1.07624,0.78473,0.00604,0.00604,0.00604
42,15888.1,1.64532,1.17167,0.92758,0.65819,0.42119,0.44515,0.21301,1.41727,1.05464,0.78301,0.005941,0.005941,0.005941
43,16263.5,1.59548,1.14562,0.91584,0.65847,0.41034,0.44314,0.21835,1.41533,1.06744,0.78219,0.005842,0.005842,0.005842
44,16640.8,1.62395,1.13668,0.92818,0.65682,0.41225,0.4437,0.21441,1.42807,1.05956,0.78876,0.005743,0.005743,0.005743
45,17019.6,1.60845,1.12367,0.9221,0.63613,0.41481,0.44577,0.21487,1.42042,1.05369,0.78496,0.005644,0.005644,0.005644
46,17398.6,1.59716,1.12647,0.90666,0.64236,0.41991,0.45108,0.22092,1.43012,1.06228,0.78408,0.005545,0.005545,0.005545
47,17777.6,1.61045,1.13467,0.92778,0.66746,0.41736,0.44817,0.21501,1.41349,1.07908,0.78486,0.005446,0.005446,0.005446
48,18154.5,1.63833,1.14495,0.93347,0.66447,0.42715,0.45416,0.21948,1.42573,1.11198,0.78425,0.005347,0.005347,0.005347
49,18531.2,1.60958,1.11657,0.92803,0.68276,0.41481,0.4544,0.22187,1.42543,1.07677,0.78355,0.005248,0.005248,0.005248
50,18908,1.56287,1.09546,0.9045,0.66931,0.42502,0.46358,0.22501,1.42071,1.05436,0.78279,0.005149,0.005149,0.005149
51,19284.3,1.61038,1.12593,0.923,0.65237,0.42873,0.45924,0.22195,1.42077,1.07287,0.78494,0.00505,0.00505,0.00505
52,19658.7,1.58398,1.08577,0.90816,0.64902,0.42948,0.45794,0.22239,1.41515,1.03677,0.78087,0.004951,0.004951,0.004951
53,20036.6,1.61115,1.09923,0.91724,0.65792,0.42119,0.45887,0.22388,1.41259,1.0377,0.78064,0.004852,0.004852,0.004852
54,20412.5,1.60764,1.0799,0.91801,0.6494,0.42199,0.45823,0.22434,1.41654,1.03242,0.78243,0.004753,0.004753,0.004753
